epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,10185.7,0.08682,1.0895,0.91167,0.61475,0.67904,0.6755,0.67533,0.04132,0.76346,1.0419,0.0011725,0.0011725,0.0011725
109,10283.6,0.08636,1.08838,0.91158,0.61854,0.67565,0.6767,0.67654,0.04213,0.76345,1.04191,0.00109,0.00109,0.00109
110,10381.8,0.08487,1.08696,0.91149,0.61877,0.68019,0.6778,0.67761,0.04241,0.76252,1.04191,0.0010075,0.0010075,0.0010075
111,10539.6,inf,0.70632,0.96413,0.621,0.67887,0.67924,0.67906,0.04138,0.76047,1.04188,0.000925,0.000925,0.000925
112,10637.2,0.01809,0.67161,0.96426,0.61936,0.68144,0.68055,0.68039,0.0411,0.75839,1.04186,0.0008425,0.0008425,0.0008425
113,10733.6,0.01675,0.66075,0.96434,0.62206,0.68014,0.68163,0.68145,0.04096,0.75723,1.04187,0.00076,0.00076,0.00076
114,10830.6,0.01574,0.65049,0.96456,0.62406,0.67971,0.68358,0.68331,0.04076,0.75631,1.0419,0.0006775,0.0006775,0.0006775
115,10927.3,0.0148,0.64106,0.963,0.62536,0.67752,0.68496,0.68469,0.0396,0.7552,1.04184,0.000595,0.000595,0.000595
116,11025.1,0.01457,0.63055,0.96229,0.6293,0.67195,0.68641,0.68613,0.0385,0.75412,1.04179,0.0005125,0.0005125,0.0005125
117,11122.5,0.01383,0.62284,0.96461,0.6289,0.67463,0.68781,0.68753,0.03811,0.75309,1.04176,0.00043,0.00043,0.00043
118,11220.1,0.01361,0.61532,0.96239,0.63391,0.6709,0.68878,0.68847,0.03723,0.75235,1.04173,0.0003475,0.0003475,0.0003475
119,11317.7,inf,0.60723,0.96376,0.63859,0.66405,0.68975,0.68943,0.0365,0.75166,1.04168,0.000265,0.000265,0.000265
120,11415.3,0.01282,0.59606,0.96378,0.64397,0.65693,0.69096,0.69061,0.03617,0.75115,1.04165,0.0001825,0.0001825,0.0001825
